ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC14,0,-4.1,183,2.007937,2.007937,Bank #1 || Task: None,(21.1, 0.8, 357.0)
BNC14,0,-4.1,184,2.014691,2.014691,Bank #1 || Task: None,(20.7, 0.8, 357.0)
BNC14,0,-4.1,185,2.021728,2.021728,Bank #1 || Task: None,(20.2, 0.9, 357.0)
BNC14,0,-4.1,186,2.028603,2.028603,Bank #1 || Task: None,(19.8, 0.9, 357.0)
BNC14,0,-4.1,187,2.035575,2.035575,Bank #1 || Task: None,(19.3, 0.9, 356.9)
BNC14,0,-4.1,188,2.042499,2.042499,Bank #1 || Task: None,(18.9, 0.9, 356.9)
BNC14,0,-4.1,189,2.049483,2.049483,Bank #1 || Task: None,(18.5, 1.0, 356.9)
BNC14,0,-4.1,190,2.056371,2.056371,Bank #1 || Task: None,(18.1, 1.0, 356.9)
BNC14,0,-4.1,191,2.063256,2.063256,Bank #1 || Task: None,(17.7, 1.0, 356.9)
BNC14,0,-4.1,192,2.070258,2.070258,Bank #1 || Task: None,(17.2, 1.1, 356.9)
BNC14,0,-4.1,193,2.077212,2.077212,Bank #1 || Task: None,(16.8, 1.1, 356.9)
BNC14,0,-4.1,194,2.084149,2.084149,Bank #1 || Task: None,(16.3, 1.1, 356.9)
BNC14,0,-4.1,195,2.09106,2.09106,Bank #1 || Task: None,(15.9, 1.1, 356.9)
BNC14,0,-4.1,196,2.097992,2.097992,Bank #1 || Task: None,(15.5, 1.1, 356.9)
BNC14,0,-4.1,197,2.105027,2.105027,Bank #1 || Task: None,(15.2, 1.2, 356.9)
BNC14,0,-4.1,198,2.112037,2.112037,Bank #1 || Task: None,(14.8, 1.2, 356.9)
BNC14,0,-4.1,199,2.118879,2.118879,Bank #1 || Task: None,(14.5, 1.2, 356.9)
BNC14,0,-4.1,200,2.125785,2.125785,Bank #1 || Task: None,(14.2, 1.2, 356.9)
BNC14,0,-4.1,201,2.132683,2.132683,Bank #1 || Task: None,(13.8, 1.2, 356.9)
BNC14,0,-4.1,202,2.140403,2.140403,Bank #1 || Task: None,(13.5, 1.2, 356.9)
BNC14,0,-4.1,203,2.146705,2.146705,Bank #1 || Task: None,(13.2, 1.2, 356.9)
BNC14,0,-4.1,204,2.153611,2.153611,Bank #1 || Task: None,(12.9, 1.2, 356.9)
BNC14,0,-4.1,205,2.160522,2.160522,Bank #1 || Task: None,(12.5, 1.2, 356.9)
BNC14,0,-4.1,206,2.167597,2.167597,Bank #1 || Task: None,(12.2, 1.2, 356.9)
BNC14,0,-4.1,207,2.174356,2.174356,Bank #1 || Task: None,(11.9, 1.2, 357.0)
BNC14,0,-4.1,208,2.181334,2.181334,Bank #1 || Task: None,(11.6, 1.2, 357.0)
BNC14,0,-4.1,209,2.188347,2.188347,Bank #1 || Task: None,(11.3, 1.2, 357.0)
BNC14,0,-4.1,210,2.195258,2.195258,Bank #1 || Task: None,(11.0, 1.2, 357.0)
BNC14,0,-4.1,211,2.202262,2.202262,Bank #1 || Task: None,(10.8, 1.2, 357.0)
BNC14,0,-4.1,212,2.209147,2.209147,Bank #1 || Task: None,(10.5, 1.2, 357.1)
BNC14,0,-4.1,213,2.216205,2.216205,Bank #1 || Task: None,(10.3, 1.1, 357.1)
BNC14,0,-4.1,214,2.22317,2.22317,Bank #1 || Task: None,(10.0, 1.1, 357.1)
BNC14,0,-4.1,215,2.229937,2.229937,Bank #1 || Task: None,(9.7, 1.0, 357.1)
BNC14,0,-4.1,216,2.236918,2.236918,Bank #1 || Task: None,(9.5, 1.0, 357.1)
BNC14,0,-4.1,217,2.243908,2.243908,Bank #1 || Task: None,(9.2, 1.0, 357.1)
BNC14,0,-4.1,218,2.250767,2.250767,Bank #1 || Task: None,(8.9, 0.9, 357.2)
BNC14,0,-4.1,219,2.257733,2.257733,Bank #1 || Task: None,(8.6, 0.9, 357.2)
BNC14,0,-4.1,220,2.264711,2.264711,Bank #1 || Task: None,(8.3, 0.8, 357.2)
BNC14,0,-4.1,221,2.271637,2.271637,Bank #1 || Task: None,(8.1, 0.8, 357.2)
BNC14,0,-4.1,222,2.278572,2.278572,Bank #1 || Task: None,(7.8, 0.7, 357.3)
BNC14,0,-4.1,223,2.285564,2.285564,Bank #1 || Task: None,(7.6, 0.6, 357.3)
BNC14,0,-4.1,224,2.292449,2.292449,Bank #1 || Task: None,(7.3, 0.6, 357.3)
BNC14,0,-4.1,225,2.299585,2.299585,Bank #1 || Task: None,(7.1, 0.5, 357.3)
BNC14,0,-4.1,226,2.306377,2.306377,Bank #1 || Task: None,(6.9, 0.4, 357.3)
BNC14,0,-4.1,227,2.313324,2.313324,Bank #1 || Task: None,(6.6, 0.4, 357.4)
BNC14,0,-4.1,228,2.320175,2.320175,Bank #1 || Task: None,(6.4, 0.3, 357.4)
BNC14,0,-4.1,229,2.327253,2.327253,Bank #1 || Task: None,(6.2, 0.3, 357.4)
BNC14,0,-4.1,230,2.334124,2.334124,Bank #1 || Task: None,(6.1, 0.2, 357.4)
BNC14,0,-4.1,231,2.341887,2.341887,Bank #1 || Task: None,(5.9, 0.1, 357.4)
BNC14,0,-4.1,232,2.348234,2.348234,Bank #1 || Task: None,(5.8, 0.1, 357.5)
BNC14,0,-4.1,233,2.355028,2.355028,Bank #1 || Task: None,(5.6, 0.0, 357.5)
BNC14,0,-4.1,234,2.36208,2.36208,Bank #1 || Task: None,(5.5, 360.0, 357.5)
BNC14,0,-4.1,235,2.368944,2.368944,Bank #1 || Task: None,(5.3, 359.9, 357.5)
BNC14,0,-4.1,236,2.375881,2.375881,Bank #1 || Task: None,(5.2, 359.8, 357.5)
BNC14,0,-4.1,237,2.382745,2.382745,Bank #1 || Task: None,(5.0, 359.8, 357.6)
BNC14,0,-4.1,238,2.38969,2.38969,Bank #1 || Task: None,(4.9, 359.7, 357.6)
BNC14,0,-4.1,239,2.39661,2.39661,Bank #1 || Task: None,(4.7, 359.6, 357.6)
BNC14,0,-4.1,240,2.403572,2.403572,Bank #1 || Task: None,(4.5, 359.5, 357.6)
BNC14,0,-4.1,241,2.410504,2.410504,Bank #1 || Task: None,(4.4, 359.5, 357.6)
BNC14,0,-4.1,242,2.417486,2.417486,Bank #1 || Task: None,(4.3, 359.4, 357.6)
BNC14,0,-4.1,243,2.424452,2.424452,Bank #1 || Task: None,(4.1, 359.3, 357.6)
BNC14,0,-4.1,244,2.431287,2.431287,Bank #1 || Task: None,(4.0, 359.3, 357.6)
BNC14,0,-4.1,245,2.438449,2.438449,Bank #1 || Task: None,(3.9, 359.2, 357.6)
BNC14,0,-4.1,246,2.445246,2.445246,Bank #1 || Task: None,(3.8, 359.1, 357.6)
BNC14,0,-4.1,247,2.452209,2.452209,Bank #1 || Task: None,(3.7, 359.1, 357.6)
BNC14,0,-4.1,248,2.459111,2.459111,Bank #1 || Task: None,(3.6, 359.0, 357.6)
BNC14,0,-4.1,249,2.46609,2.46609,Bank #1 || Task: None,(3.5, 358.9, 357.6)
BNC14,0,-4.1,250,2.473001,2.473001,Bank #1 || Task: None,(3.4, 358.9, 357.6)
BNC14,0,-4.1,251,2.480108,2.480108,Bank #1 || Task: None,(3.3, 358.8, 357.6)
BNC14,0,-4.1,252,2.486967,2.486967,Bank #1 || Task: None,(3.2, 358.8, 357.6)
BNC14,0,-4.1,253,2.49386,2.49386,Bank #1 || Task: None,(3.2, 358.7, 357.5)
BNC14,0,-4.1,254,2.500827,2.500827,Bank #1 || Task: None,(3.1, 358.7, 357.5)
BNC14,0,-4.1,255,2.507765,2.507765,Bank #1 || Task: None,(3.1, 358.7, 357.5)
BNC14,0,-4.1,256,2.514711,2.514711,Bank #1 || Task: None,(3.0, 358.6, 357.5)
BNC14,0,-4.1,257,2.521652,2.521652,Bank #1 || Task: None,(3.0, 358.6, 357.5)
BNC14,0,-4.1,258,2.528592,2.528592,Bank #1 || Task: None,(3.0, 358.6, 357.5)
BNC14,0,-4.1,259,2.535578,2.535578,Bank #1 || Task: None,(2.9, 358.5, 357.5)
BNC14,0,-4.1,260,2.543283,2.543283,Bank #1 || Task: None,(2.9, 358.5, 357.5)
BNC14,0,-4.1,261,2.549433,2.549433,Bank #1 || Task: None,(2.9, 358.5, 357.5)
BNC14,0,-4.1,262,2.556334,2.556334,Bank #1 || Task: None,(2.8, 358.4, 357.5)
