ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNCTour,0,-4.1,4001,28.19567,28.19567,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4002,28.20259,28.20259,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4003,28.20953,28.20953,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4004,28.21648,28.21648,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4005,28.22341,28.22341,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4006,28.23039,28.23039,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4007,28.23732,28.23732,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4008,28.24416,28.24416,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4009,28.25122,28.25122,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4010,28.25823,28.25823,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4011,28.26527,28.26527,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4012,28.27196,28.27196,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4013,28.27893,28.27893,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4014,28.2859,28.2859,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4015,28.29282,28.29282,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4016,28.29994,28.29994,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4017,28.30675,28.30675,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4018,28.31368,28.31368,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4019,28.32063,28.32063,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4020,28.32766,28.32766,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4021,28.33456,28.33456,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4022,28.3414,28.3414,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4023,28.34846,28.34846,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4024,28.35536,28.35536,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4025,28.36239,28.36239,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4026,28.36924,28.36924,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4027,28.3762,28.3762,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4028,28.38309,28.38309,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4029,28.39117,28.39117,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4030,28.397,28.397,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4031,28.40403,28.40403,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4032,28.41085,28.41085,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4033,28.4178,28.4178,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4034,28.42478,28.42478,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4035,28.43172,28.43172,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4036,28.43886,28.43886,Bank #1 || Task: None,(0.0, 0.0, 0.0)
